3922,3295
3870,3344
3886,3416
3804,3443
3782,3483
3710,3552
3624,3561
3505,3674
3306,3770
3185,3834
3009,3915
2875,3955
2710,3972
2618,3902
2558,3798
2550,3636
2522,3467
2560,3303
2562,3144
2598,3011
2642,2871
2712,2796
2731,2740
2798,2650
2851,2633
2939,2595
2988,2554
3141,2570
3176,2575
3248,2572
3361,2581
3416,2624
3489,2663
3509,2739
3533,2850
3547,2955
3527,3047
3504,3124
3438,3219
3377,3332
3247,3445
3111,3555
2948,3662
2810,3752
2600,3782
2486,3752
2437,3687
2330,3578
2314,3451
2296,3316
2287,3206
2340,3058
2386,2891
2423,2742
2507,2590
2612,2429
2717,2336
2756,2251
2884,2211
2989,2204
3124,2209
3209,2216
3356,2234
3404,2319
3469,2425
3525,2581
3548,2730
3526,2932
3510,3067
3496,3215
