1337,894
1355,904
1370,919
1391,921
1394,936
1406,970
1394,1011
1382,1036
1359,1061
1334,1087
1380,1100
1368,1128
1366,1144
1347,1168
1357,1175
1388,1190
1418,1190
1428,1194
1436,1191
1466,1195
1486,1211
1502,1204
1526,1191
1577,1183
1594,1183
1599,1200
1600,1207
1588,1195
1582,1201
1600,1195
1607,1195
1610,1204
1615,1212
1641,1210
1664,1205
1647,1212
1670,1229
1690,1246
1695,1235
1701,1238
1728,1239
1755,1220
1750,1234
1765,1236
1764,1235
1766,1242
1751,1258
1748,1265
1738,1276
1704,1275
1721,1285
1695,1327
1648,1356
1600,1380
1603,1380
1588,1400
1574,1420
1535,1419
1519,1427
1515,1411
1529,1391
1535,1386
1535,1365
1549,1348
1571,1333
1591,1297
1602,1264
1612,1232
1621,1200
1628,1177
1670,1147
1705,1117
1723,1103
1748,1058
1787,1030
1811,1023
1840,1020
1870,1024
1859,1045
1880,1072
1851,1087
1830,1126
1807,1192
1782,1223
1755,1268
1720,1315
1710,1364
1690,1413
1648,1473
1631,1510
1618,1555
1604,1585
1586,1602
1570,1623
1554,1629
1563,1618
1521,1636
1507,1645
1504,1644
1514,1629
1519,1608
1522,1592
1540,1568
1592,1542
1638,1501
1626,1468
1653,1441
1676,1420
1672,1407
1697,1407
1673,1423
1630,1434
1609,1436
1559,1453
1512,1457
1439,1476
1391,1509
1336,1530
1298,1520
1282,1520
1243,1517
1234,1519
1242,1521
1228,1512
1222,1501
1218,1473
1248,1461
1244,1421
1250,1390
1239,1371
1250,1337
1256,1317
1278,1290
1267,1260
1294,1246
1326,1196
1328,1199
1332,1186
1294,1177
1290,1176
1307,1148
1307,1139
1306,1133
1309,1128
1299,1111
1293,1109
1306,1107
1298,1106
1305,1096
1365,1065
1385,1075
1395,1078
1406,1074
1433,1063
1441,1065
1445,1077
1434,1099
1469,1117
1452,1123
1435,1125
1412,1146
1401,1167
1395,1189
1385,1221
1378,1239
1389,1242
1407,1258
1428,1265
1455,1268
1492,1244
1538,1231
1576,1222
1603,1203
1652,1201
1665,1196
1682,1188
1711,1183
1722,1197
1728,1202
1730,1221
1728,1238
1711,1251
1703,1247
1714,1247
1689,1281
1664,1321
1633,1350
1613,1361
1622,1368
1633,1354
1616,1364
1605,1366
1606,1366
1630,1370
1609,1390
1613,1387
1593,1395
1566,1415
1536,1430
1537,1423
1530,1433
1486,1430
1450,1435
1444,1431
1398,1444
1371,1445
1349,1442
1360,1430
1371,1421
1342,1416
1351,1420
1339,1425
1307,1421
1310,1418
1309,1411
1310,1387
1303,1351
1323,1332
1337,1309
1360,1292
1372,1272
1397,1259
1463,1235
1485,1208
1504,1201
1546,1168
1588,1143
1613,1139
1623,1121
1662,1108
1657,1103
1678,1088
1717,1083
1704,1103
1706,1111
